symbol,histdata_market,histdata_fund,recent_date,recent_price,recent_mktcap,recent_return_1d,recent_return_1w,recent_return_1m,recent_return_1y,pred_short,pred_medium,pred_long,pred_short_star,pred_medium_star,pred_long_star,profile_id
AAPL,histdata_market/AAPL.csv,histdata_fundamental/AAPL.csv,2019-09-27,218.82,988886967600.0,-0.004866069398335449,0.005006200339870537,0.0718064263322884,-0.007258869431086112,0.16808278949840116,0.7104580043487104,0.24975489201676926,-3,-1,-4,AAPL
AXP,histdata_market/AXP.csv,histdata_fundamental/AXP.csv,2019-09-27,118.59,98391039660.0,-0.002691110924228357,0.015325342465753566,0.0071337579617833935,0.09795389315804082,0.21909326325877676,0.9053655419081713,0.9938609945067328,-3,4,5,AXP
BA,histdata_market/BA.csv,histdata_fundamental/BA.csv,2019-09-27,382.86,215439150600.0,-0.010416397425624835,0.00914626110335015,0.07929974910495297,0.04884530038626966,0.05389157740559236,0.9016208563139689,0.97108515506314,-5,3,4,BA
CAT,histdata_market/CAT.csv,histdata_fundamental/CAT.csv,2019-09-27,126.59,71218141510.0,0.0015824036711764577,-0.012250312109862604,0.11651084847415771,-0.17353267611151002,0.46422269176747155,0.2630831649520152,0.46638295237102534,1,-4,-1,CAT
CSCO,histdata_market/CSCO.csv,histdata_fundamental/CSCO.csv,2019-09-27,48.84,207339963600.0,0.00020479213598201262,-0.015322580645161232,0.04381278050865589,0.008882462301177618,0.6465223004662644,0.8902985977047018,0.47945466493773037,1,3,1,CSCO
CVX,histdata_market/CVX.csv,histdata_fundamental/CVX.csv,2019-09-27,118.6,225152374800.0,-0.012982689747004006,-0.04601029601029605,0.023914357247690532,-0.0274702747027471,0.9804739615397015,0.08600889404000078,0.6393502186504224,5,-5,2,CVX
DIS,histdata_market/DIS.csv,histdata_fundamental/DIS.csv,2019-09-27,129.96,234107214840.0,-0.009979431705644859,-0.017464277613971402,-0.03368280169529336,0.12802708098255366,0.16649779691722888,0.212790868731198,0.9286052983778623,-4,-4,4,DIS
DOW,histdata_market/DOW.csv,histdata_fundamental/DOW.csv,2019-09-27,47.07,34982988840.0,-0.0033876773237347946,-0.023646546359676446,0.14330823415108074,,0.7985598031456449,0.828489863823362,0.17878650570197874,3,3,-4,DOW
GS,histdata_market/GS.csv,histdata_fundamental/GS.csv,2019-09-27,208.97,75138089080.0,0.0036019594659495446,-0.022316833536071945,0.055031049628919027,-0.08698881509961554,0.08073112810994032,0.7778346485512597,0.988441608193672,-4,2,5,GS
HD,histdata_market/HD.csv,histdata_fundamental/HD.csv,2019-09-27,229.86,251731868580.0,0.00030462596283564736,0.0231005474696222,0.05338893726227023,0.10765227447956827,0.4641665606562526,0.9080399540982753,0.5175231997818239,-1,4,1,HD
IBM,histdata_market/IBM.csv,histdata_fundamental/IBM.csv,2019-09-27,143.24,126892735000.0,-0.0021595262974573037,0.009585565266422513,0.09201799191888416,-0.05520744014247081,0.3815399192697705,0.19862502796978443,0.01025518421167071,-2,-5,-5,IBM
INTC,histdata_market/INTC.csv,histdata_fundamental/INTC.csv,2019-09-27,50.78,224955400000.0,-0.00274941084053415,0.0011829652996846463,0.10897575889932298,0.11115973741794316,0.03199904959732103,0.03422197606709865,0.06321222888866351,-5,-5,-5,INTC
JNJ,histdata_market/JNJ.csv,histdata_fundamental/JNJ.csv,2019-09-27,128.6,339396747600.0,-0.0019402405898331088,-0.023167489555640075,-0.00802221536562786,-0.06919513607411698,0.879499666176393,0.9801489267434298,0.8985269576849608,3,5,4,JNJ
JPM,histdata_market/JPM.csv,histdata_fundamental/JPM.csv,2019-09-27,117.72,376407934200.0,0.005895924122020002,-0.009924306139613148,0.11329676565159841,0.023474178403755985,0.42045529268579884,0.40839338034196593,0.3710671799630847,-1,-3,-2,JPM
KO,histdata_market/KO.csv,histdata_fundamental/KO.csv,2019-09-27,54.31,232231026370.0,-0.0014708586137157642,0.0074197736969023875,-0.007492690058479523,0.18451472191930218,0.8955770729270859,0.7333366950233623,0.6972055669591979,4,1,2,KO
MCD,histdata_market/MCD.csv,histdata_fundamental/MCD.csv,2019-09-27,213.16,161883083040.0,0.0026340545625587186,0.018004680261712647,-0.013376533209905173,0.2859555984555986,0.9398131972107895,0.7786891643300979,0.34618031479531597,5,2,-3,MCD
MMM,histdata_market/MMM.csv,histdata_fundamental/MMM.csv,2019-09-27,164.53,94650653870.0,0.004272721723737938,-0.013372511393619502,0.056372391653290554,-0.22049557018998434,0.21690179116617814,0.9241254386780198,0.6492513883220339,-3,4,2,MMM
MRK,histdata_market/MRK.csv,histdata_fundamental/MRK.csv,2019-09-27,82.91,212280691250.0,-0.011564139246542648,-0.026420854861437304,-0.030519176800748338,0.17887103654201608,0.9627979613928909,0.7336201021522324,0.36049868099140736,5,1,-2,MRK
MSFT,histdata_market/MSFT.csv,histdata_fundamental/MSFT.csv,2019-09-27,137.73,1051624881570.0,-0.012971191056327935,-0.012263339070568091,0.014660380138499907,0.20836988945429002,0.6875046162129993,0.9351944858783104,0.2182194678158158,2,5,-4,MSFT
NKE,histdata_market/NKE.csv,histdata_fundamental/NKE.csv,2019-09-27,92.31,115559565840.0,0.0015189324075077781,0.06495154591601282,0.12532000487626482,0.10286738351254487,0.23777018376093728,0.7439297163122023,0.39635266846738626,-2,1,-2,NKE
PFE,histdata_market/PFE.csv,histdata_fundamental/PFE.csv,2019-09-27,36.22,200334558560.0,0.012297372833985465,-0.012810029980921178,0.05474665113570176,-0.17078754578754585,0.580229574642276,0.3783901410487883,0.4096613764387831,1,-4,-1,PFE
PG,histdata_market/PG.csv,histdata_fundamental/PG.csv,2019-09-27,124.57,311752992810.0,0.0020915453302228215,0.01906086387434547,0.03334715885524675,0.4961566178236847,0.7429363007446174,0.727690421978926,0.7735049181640807,2,-1,3,PG
TRV,histdata_market/TRV.csv,histdata_fundamental/TRV.csv,2019-09-27,148.0,38537128000.0,-0.0006752194463199857,0.011758271807492449,0.00611828687967364,0.1428571428571428,0.23659179198951197,0.5131640152246727,0.45929547974661333,-2,-2,-1,TRV
UNH,histdata_market/UNH.csv,histdata_fundamental/UNH.csv,2019-09-27,215.26,203997812060.0,-0.0010209764247262054,-0.0757009747090901,-0.03440541874130898,-0.1812407287664981,0.8919391720410959,0.44415849921466444,0.2795510963072054,4,-3,-3,UNH
UTX,histdata_market/UTX.csv,histdata_fundamental/UTX.csv,2019-09-27,136.39,117693522410.0,-0.008289100559877971,0.006048535811757683,0.09488640924781233,-0.02271424476927497,0.9190715903386303,0.636349979365995,0.7609144262423749,4,-1,3,UTX
V,histdata_market/V.csv,histdata_fundamental/V.csv,2019-09-27,174.0,300492954000.0,-0.009393680614859123,-0.00034470872113068207,-0.024554322233434234,0.16567294164936008,0.10151487457504793,0.7589338161417077,0.988742062245214,-4,2,5,V
VZ,histdata_market/VZ.csv,histdata_fundamental/VZ.csv,2019-09-27,60.3,249400800000.0,-0.0023163467902052037,0.00016586498590154264,0.05456453305351516,0.13473842679713965,0.7331165622242896,0.9328633307462061,0.029784651217722224,2,5,-5,VZ
WBA,histdata_market/WBA.csv,histdata_fundamental/WBA.csv,2019-09-27,54.41,49140010630.0,0.006102071005917198,-0.010727272727272807,0.10030333670374092,-0.25424890350877194,0.7884623165581046,0.5051419741555865,0.818804163866156,3,-2,3,WBA
WMT,histdata_market/WMT.csv,histdata_fundamental/WMT.csv,2019-09-27,118.45,336905439800.0,0.001267962806424494,0.012566250641135257,0.0536381426792385,0.25224653768897354,0.009037655000791345,0.4814821150255765,0.5789636331275784,-5,-3,1,WMT
XOM,histdata_market/XOM.csv,histdata_fundamental/XOM.csv,2019-09-27,71.48,302439456880.0,0.0071861349866142454,-0.008324084350721295,0.06384878702187846,-0.16670552576358122,0.3886164235372984,0.5036919691962624,0.3064825056866931,-1,-2,-3,XOM
